"","NK dim","CD8 Naive","CD16+ Monocytes"
"NK dim",1.15460406688833,-0.590228229469778,-0.564375837418555
"CD8 Naive",-0.595216460721152,1.15451430669855,-0.559297845977397
"CD16+ Monocytes",-0.558638871249677,-0.595861664860463,1.15450053611014
